image_path,image_shape,Nose,LEye,REye,LEar,REar,LShoulder,RShoulder,LElbow,RElbow,LWrist,RWrist,LHip,RHip,LKnee,RKnee,LAnkle,RAnkle,y
downdog/00000310.png,"(320, 600)","(383.1114807128906, 237.4384765625)","(391.4981689453125, 245.82516479492188)","(391.4981689453125, 224.85845947265625)","(383.1114807128906, 182.92501831054688)","(374.72479248046875, 199.69839477539062)","(362.144775390625, 178.731689453125)","(345.37139892578125, 199.69839477539062)","(404.07818603515625, 216.47174072265625)","(395.6914978027344, 250.01849365234375)","(458.5916442871094, 241.63180541992188)","(462.7849426269531, 279.3719177246094)","(261.50457763671875, 65.51144409179688)","(248.92454528808594, 69.70478820800781)","(186.02439880371094, 153.57162475585938)","(177.63771057128906, 157.76495361328125)","(152.47764587402344, 212.27841186523438)","(97.96421813964844, 237.4384765625)",0
downdog/00000331.jpg,"(1300, 957)","(264.2059326171875, 930.0792236328125)","(264.2059326171875, 901.2077026367188)","(271.4237976074219, 966.1685791015625)","(278.64166259765625, 908.4255981445312)","(278.64166259765625, 915.6434936523438)","(293.0774230957031, 850.6826782226562)","(300.2952880859375, 829.029052734375)","(235.3344268798828, 973.3864135742188)","(278.64166259765625, 915.6434936523438)","(155.93788146972656, 1060.000732421875)","(256.9880676269531, 937.2970581054688)","(451.87054443359375, 677.4537963867188)","(430.2169189453125, 605.2750854492188)","(574.5743408203125, 857.9005737304688)","(538.4849243164062, 403.1748046875)","(625.099365234375, 237.1637725830078)","(661.188720703125, 1074.4365234375)",0
downdog/00000144.jpg,"(506, 759)","(493.230224609375, 364.2987365722656)","(510.8224182128906, 370.1628112792969)","(557.7350463867188, 370.1628112792969)","(546.0068359375, 358.4346008300781)","(540.1427612304688, 346.7065124511719)","(499.0942687988281, 305.6579284667969)","(487.3661193847656, 317.3860778808594)","(569.463134765625, 381.8908996582031)","(551.8709106445312, 381.8908996582031)","(633.9679565429688, 440.5317077636719)","(622.2398681640625, 446.3957824707031)","(346.6282958984375, 123.87152099609375)","(340.7641906738281, 129.735595703125)","(252.8030242919922, 270.47344970703125)","(246.93896484375, 276.3375244140625)","(164.84188842773438, 405.3472595214844)","(158.97779846191406, 411.2113342285156)",0
downdog/00000334.jpg,"(280, 400)","(245.64608764648438, 196.916748046875)","(245.64608764648438, 200.033935546875)","(245.64608764648438, 193.799560546875)","(276.8179931640625, 187.565185546875)","(248.76327514648438, 181.330810546875)","(251.88046264648438, 153.276123046875)","(248.76327514648438, 153.276123046875)","(292.4039306640625, 190.682373046875)","(286.1695556640625, 193.799560546875)","(332.9273681640625, 218.737060546875)","(339.1617431640625, 224.971435546875)","(155.24765014648438, 59.7604866027832)","(158.36483764648438, 56.6432991027832)","(86.66952514648438, 131.45579528808594)","(83.55233764648438, 137.69017028808594)","(58.614845275878906, 206.268310546875)","(43.028907775878906, 218.737060546875)",0
downdog/00000208.jpg,"(406, 720)","(594.8665161132812, 188.50889587402344)","(600.4340209960938, 182.94139099121094)","(594.8665161132812, 177.37388610839844)","(93.79086303710938, 316.56158447265625)","(567.0289916992188, 160.67137145996094)","(511.3539123535156, 166.23887634277344)","(516.92138671875, 194.07640075683594)","(494.6513671875, 272.0215148925781)","(500.2188720703125, 283.1565246582031)","(500.2188720703125, 344.3990783691406)","(489.0838623046875, 372.2366638183594)","(361.0312194824219, 210.77894592285156)","(355.4637145996094, 227.48146057128906)","(232.97853088378906, 272.0215148925781)","(232.97853088378906, 283.1565246582031)","(104.92587280273438, 322.1290588378906)","(93.79086303710938, 327.6966247558594)",0
downdog/00000175.jpg,"(519, 740)","(247.0994415283203, 339.27044677734375)","(247.0994415283203, 334.10552978515625)","(236.7696075439453, 334.10552978515625)","(241.9345245361328, 313.44586181640625)","(231.6046905517578, 287.62127685546875)","(252.2643585205078, 261.7967224121094)","(247.0994415283203, 251.4668731689453)","(195.45028686523438, 354.76519775390625)","(195.45028686523438, 339.27044677734375)","(123.14146423339844, 421.9090576171875)","(107.646728515625, 370.2598876953125)","(407.2118225097656, 75.85975646972656)","(402.0469055175781, 70.69483947753906)","(484.685546875, 246.3019256591797)","(474.355712890625, 241.1370391845703)","(582.8189697265625, 385.75469970703125)","(97.31689453125, 375.42486572265625)",0
downdog/00000382.jpg,"(564, 564)","(227.48411560058594, 345.4280700683594)","(223.84994506835938, 334.5254821777344)","(249.2892303466797, 283.64691162109375)","(212.9473876953125, 330.8913269042969)","(242.0208740234375, 294.5494689941406)","(238.3866729736328, 312.72039794921875)","(234.7524871826172, 301.8178405761719)","(198.41064453125, 374.50152587890625)","(198.41064453125, 356.3305969238281)","(140.263671875, 414.4775695800781)","(147.5320587158203, 392.6724548339844)","(343.7780456542969, 192.79226684570312)","(332.8755187988281, 189.15806579589844)","(383.7540588378906, 290.9152526855469)","(376.4857482910156, 290.9152526855469)","(420.0959167480469, 389.03826904296875)","(409.1933898925781, 374.50152587890625)",0
downdog/00000284.jpg,"(801, 1200)","(833.5852661132812, 462.36505126953125)","(887.2601318359375, 507.0941162109375)","(815.693603515625, 480.2567138671875)","(869.3685302734375, 435.52764892578125)","(869.3685302734375, 435.52764892578125)","(806.747802734375, 381.852783203125)","(824.639404296875, 417.63604736328125)","(824.639404296875, 498.1483154296875)","(878.3143310546875, 578.6607055664062)","(905.1517333984375, 542.8773803710938)","(994.6098022460938, 694.9561767578125)","(538.3734130859375, 238.7197265625)","(538.3734130859375, 256.61138916015625)","(386.29461669921875, 435.52764892578125)","(386.29461669921875, 444.47344970703125)","(189.48670959472656, 578.6607055664062)","(162.6492919921875, 596.5523071289062)",0
downdog/00000284.jpg,"(801, 1200)","(910.2427368164062, 478.2785339355469)","(916.9107055664062, 471.61053466796875)","(910.2427368164062, 461.6085205078125)","(913.5767211914062, 574.9645385742188)","(880.2366943359375, 438.2705383300781)","(823.5586547851562, 401.5965270996094)","(836.8947143554688, 414.9325256347656)","(813.5567016601562, 488.2805480957031)","(890.2387084960938, 584.966552734375)","(913.5767211914062, 554.9605102539062)","(1003.5947265625, 694.9885864257812)","(900.2406616210938, 588.300537109375)","(810.2227172851562, 441.6045227050781)","(856.898681640625, 614.9725341796875)","(806.888671875, 464.9425354003906)","(810.2227172851562, 481.612548828125)","(1026.9326171875, 691.654541015625)",0
downdog/00000291.jpg,"(268, 400)","(92.90390014648438, 172.7139129638672)","(96.02108764648438, 166.4795379638672)","(96.02108764648438, 163.3623504638672)","(105.37265014648438, 172.7139129638672)","(117.84140014648438, 163.3623504638672)","(111.60702514648438, 135.30764770507812)","(142.77890014648438, 157.1279754638672)","(102.25546264648438, 185.1826629638672)","(133.42733764648438, 219.4717254638672)","(77.31796264648438, 235.0576629638672)","(71.08358764648438, 219.4717254638672)","(223.82577514648438, 51.14359664916992)","(230.06015014648438, 44.90922164916992)","(261.2320556640625, 144.6592254638672)","(279.9351806640625, 132.19046020507812)","(323.5758056640625, 216.3545379638672)","(329.8101806640625, 207.0029754638672)",0
